URI,dcdtr:elementName,skos:prefLabel,dct:description,dcdtr:meaning,dcdtr:containerObject,dcdtr:dataType,dcdtr:valueDomain,dcdtr:unitOfMeasure,source
class/attribute/lithologydescription,LithologyDescription,Lithology Description,"Description of the lithology of surface geology or geologic column for well interval, e.g. granite, sandstone, limestone, arkose, schist. Recommend using CGI simple lithology vocabulary (see tab in this workbook). Use to account for EarthChem Material, EarthChem Type, EarthChem Composition.d alluvium, 36-40 ft: gravels; etc.",,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/lithologyinformation,LithologyInformation,Lithology Information,"Description of the lithology of surface geology or geologic column for well interval, e.g. arkose, granite, limestone, sandstone, schist. Recommend using CGI simple lithology vocabulary (see tab in this workbook). Use to account for EarthChem Material, EarthChem Type, EarthChem Composition, alluvium, 36-40 ft: gravels; etc.",,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/lithologyterm,LithologyTerm,Lithology Term,"Description of the lithology of surface geology or geologic column for well interval, e.g. arkose, granite, limestone, sandstone, schist. Recommend using CGI simple lithology vocabulary. Use to account for EarthChem Material, EarthChem Type, EarthChem Composition, alluvium, 36-40 ft: gravels; etc.",,,def/primitive-type/string,,,
class/attribute/lithologyterms,LithologyTerms,Lithology Terms,"Description of the lithology of surface geology or geologic column for well interval, e.g. arkose, granite, limestone, sandstone, schist. Recommend using CGI simple lithology vocabulary. Use to account for EarthChem Material, EarthChem Type, EarthChem Composition, alluvium, 36-40 ft: gravels; etc.",,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/loadfactor,LoadFactor,Load Factor,Heating factor in BTUs.,,,def/primitive-type/string,,,
class/attribute/localityterms,LocalityTerms,Locality Terms,"Additional information or more geographic names associated with sample collection location; if multiple names supplied, delimit with pipe  |  character, e.g. Arizona | La Paz County | Harquahala Mountains | Browns Canyon.",,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/locationdescription,LocationDescription,Location Description,"Free text description of the sample location, the specific place where your sample was collected, method used to determine the location of the sample, e.g. GPS, DVL, or relation to parent sample.",,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/locationkeyword,LocationKeyword,Location Keyword,"Names of geographic features associated with the site that will be useful as search criteria to locate the information for this site. If identifiers from multiple different authorities are available, delimit these identifiers with the pipe character  | .",,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/locationname,LocationName,Location Name,"Names of geographic features associated with the site that will be useful as search criteria to locate the information for this site. If identifiers from multiple different authorities are available, delimit these identifiers with the pipe character  | .",,,def/primitive-type/string,class/value-domain/name-string,,
class/attribute/locationuncertaintycode,LocationUncertaintyCode,Location Uncertainty Code,"A controlled vocabulary term or code value specifying the location confidence, E.g. 1 = reported, 2= surveyed, 3= GPS. If such a code list or vocabulary is used, it must be added to the -Data Valid Terms- sheet to enumerate the possible values and their meaning.",,,def/primitive-type/string,class/value-domain/controlled-vocabulary,,
class/attribute/locationuncertaintyradius,LocationUncertaintyRadius,Location Uncertainty Radius,"Radius (in meters) of circle of confidence for location. Ideally might represent some specific confidence criteria like -radius of circle around reported location which which true location lies with 95% confidence-, but such precision is rarely available.",,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/locationuncertaintystatement,LocationUncertaintyStatement,Location Uncertainty Statement,"Information on how the original location was determined, e.g.: 1:250,000 map, gps unit, Google Earth, PLSS Conversion, Spatial Datum Conversion, e.g., NAD27 to WGS84.",,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/logtypename,LogTypeName,Log Type Name,"Free text name for the type of log, using whatever terminology is used by the data provider. See AASG Data Log Type Codes tab for suggested terms.",,,def/primitive-type/string,class/value-domain/name-string,,
class/attribute/logtypeterm,LogTypeTerm,Log Type Term,Controlled vocabulary term to categorize the kind of log. Pick most specific category term (Data code) that applies from the vocabulary on the AASG Data Log Type Codes tab.,,,def/primitive-type/term,,,
class/attribute/loguri,LogURI,Log URI,"Unique identifier for the well log. This is the  Uniform Resource Identifier that will be used to cross-reference data, samples, and other observations to the observation represented by this record. Best practice is to define an http URI that will dereference to a normative description of the observation. USGIN URIs may be redirected to any URL using the http://resources.usgin.org redirector; contact the USGIN development team at AZGS for instructions. (See http://lab.usgin.org/node/315).",,,def/primitive-type/uri,class/value-domain/http-uri,,
class/attribute/longcentroid,LongCentroid,Long Centroid,"Longitude coordinate of Centroid of polygon defining geothermal area; values should be provided with at least 4 significant digits for sufficient precision (7 decimal places is recommended by the USGS (OFR 02-463, p. 6). Use decimal degrees.",,class/data-object/coordinate-location,def/primitive-type/real-number,,,
class/attribute/longdegree,LongDegree,Longitude Degree,"Longitude coordinate for the surface location of the feature (use center point for areas); values should be provided with at least 4 significant digits for sufficient precision (7 decimal places is recommended by the USGS (OFR 02-463, p. 6). Use decimal degrees.",,class/data-object/coordinate-location,def/primitive-type/real-number,class/value-domain/degrees-of-longitude,def/units-of-measure/degree,
class/attribute/longdegreewgs84,LongDegreeWGS84,Long Degree WGS84,"Longitude coordinate for the surface location of the feature (use center point for areas); using WGS1984; values should be provided with at least 4 significant digits for sufficient precision (7 decimal places is recommended by the USGS (OFR 02-463, p. 6). Use decimal degrees.",,class/data-object/coordinate-location,def/primitive-type/real-number,class/value-domain/degrees-of-longitude,def/units-of-measure/degree,
class/attribute/longitudedegree,LongitudeDegree,Longitude Degree,"Longitude coordinate for the surface location of the feature (use center point for areas); values should be provided with at least 4 significant digits for sufficient precision (7 decimal places is recommended by the USGS (OFR 02-463, p. 6). Use decimal degrees.",,class/data-object/coordinate-location,def/primitive-type/real-number,class/value-domain/degrees-of-longitude,def/units-of-measure/degree,
class/attribute/magnitude,Magnitude,Magnitude,A number that characterizes the relative size of an earthquake. Must be a numeric value.,,,def/primitive-type/real-number,,,
class/attribute/magnitudetype,MagnitudeType,Magnitude Type,"This is a string value, and may be preceded by a min or max (greater than, less than) indicator.  mb, Ms, ML, mbmle, msmle, following ISC database.",,,def/primitive-type/string,,,
class/attribute/majorfields,MajorFields,Major Fields,Major Field names within the region of study or fairway; separate names with pipe ( | ) character.  ,,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/maplabel,MapLabel,Map Label,Short text string for labeling the feature on maps. Can be the same as feature name. A label may be an OtherLocationName; OtherID or the Name or some combination.,,,def/primitive-type/string,class/value-domain/name-string,,
class/attribute/materialclass,MaterialClass,Material Class,Category from simple material classification scheme e.g. rock; sediment; aqueous liquid; other liquid; gas; biological material. ,,,def/primitive-type/term,,,
